pub,new_classification
Dynamics of symmetry-protected topological matter on a quantum computer,Not-Related
Exploring the Global Reaction Coordinate for Retinal Photoisomerization: A Graph Theory-Based Machine Learning Approach,Not-Related
Impact of natural selection on global patterns of genetic variation and association with clinical phenotypes at genes involved in SARS-CoV-2 infection,Sustainability-Inclusive
Deregulated miRNA Expression in Triple-Negative Breast Cancer of Ancestral Genomic-Characterized Latina Patients,Sustainability-Inclusive
Diversifying the genomic data science research community,SDG-Related
AncestryGrapher toolkit: Python command-line pipelines to visualize global- and local- ancestry inferences from the RFMIX version 2 software,SDG-Related
Parental Exposure to Childhood Maltreatment and Offspring’s Mental Health: Investigating Pathways Through Parental Adversity and Offspring Exposure to Maltreatment,Sustainability-Inclusive
Barriers to Implementing a Group Treatment for Maternal Depression in Head Start: Comparing Staff Perspectives,Sustainability-Inclusive
Addressing maternal mental health to increase participation in home visiting,Sustainability-Inclusive
"Mothers’ Perceptions of Help-Seeking for Depression in Head Start: A Thematic, Discourse Analysis by Language Group",Sustainability-Inclusive
Effectiveness of an Interpersonal Psychotherapy (IPT) Group Depression Treatment for Head Start Mothers: A Cluster-Randomized Controlled Trial,Sustainability-Inclusive
Effect of Caregiver Depressive Symptoms on the Concordance Between Caregiver and Youth Assessment of Youth Physical Health,SDG-Related
Caregiver experiences of developmental screening,SDG-Related
"Neighborhood poverty, intergenerational mobility, and early developmental health in a population birth cohort",SDG-Related
Microbial ecology of northern Gulf of Mexico estuarine waters,Sustainability-Inclusive
The first decade of scientific insights from the Deepwater Horizon oil release,Sustainability-Inclusive
A genomic catalog of Earth’s microbiomes,Sustainability-Inclusive
Flexible genomic island conservation across freshwater and marine Methylophilaceae,Sustainability-Inclusive
"Metagenome-assembled genome sequence of dolichospermum circinale strain clear-D4, assembled from a harmful cyanobacterial bloom enrichment culture",SDG-Related
"Metagenome-assembled genome sequence of kapabacteriales bacterium strain clear-d13, assembled from a harmful algal bloom enrichment culture",SDG-Related
"Metagenome-assembled genome sequence of aphanizomenon flos-aquae strain Clear-A1, assembled from an enrichment culture",SDG-Related
Towards culturing the microbe of your choice,SDG-Related
Draft Genome Sequence of the Marine Flavobacteriaceae sp. Strain LSUCC0859,SDG-Related
"Metagenomics and metatranscriptomics reveal broadly distributed, active, novel methanotrophs in the Gulf of Mexico hypoxic zone and in the marine water column",SDG-Related
Genome sequences of four agarolytic bacteria from the Bacteroidia and Gammaproteobacteria,SDG-Related
"Metagenome-assembled genome sequence of vulcanococcus sp. strain clear-D1, assembled from a cyanobacterial enrichment culture",Not-Related
"Metagenome-assembled genome sequence of rhodobacteraceae bacterium strain clear-D3, assembled from a dolichospermum consortium from Clear Lake, California",Not-Related
Best practices for successfully writing and publishing a genome announcement in Microbiology Resource Announcements,Not-Related
Roadmap for naming uncultivated Archaea and Bacteria,Not-Related
Sparse-growth-curve: A computational pipeline for parsing cellular growth curves with low temporal resolution,Not-Related
RRAP: RPKM Recruitment Analysis Pipeline,Not-Related
Metagenome-Assembled Genomes from Photo-Oxidized and Nonoxidized Oil-Degrading Marine Microcosms,Not-Related
"“Even Though the System Had Failed Him His Entire Life, We Were Failing Him Yet Again”: How Clinical, Welfare, and Penal Medicine Interact to Drive Health Inequities and Medical Moral Injury",Sustainability-Inclusive
The fentanyl made me feel like I needed more methadone”: changes in the role and use of medication for opioid use disorder (MOUD) due to fentanyl,Sustainability-Inclusive
"Changes in Social, Romantic, and General Life Satisfaction Over the Course of a Substance Use Disorder",SDG-Related
The role of social isolation in opioid addiction,SDG-Related
Neural patterns associated with mixed valence feelings differ in consistency and predictability throughout the brain,Not-Related
"Carbon isotopic composition of plant waxes, bulk organics and carbonates from soils of the Serengeti grasslands",Sustainability-Inclusive
Discontinuous Igneous Addition Along the Eastern North American Margin Beneath the East Coast Magnetic Anomaly,SDG-Related
Association of Diet Quality with Survival among People with Metastatic Colorectal Cancer in the Cancer and Leukemia B and Southwest Oncology Group 80405 Trial,Sustainability-Inclusive
Imaging-Based Machine Learning Analysis of Patient-Derived Tumor Organoid Drug Response,Sustainability-Inclusive
Racial differences in survival and response to therapy in patients with metastatic colorectal cancer: A secondary analysis of CALGB/SWOG 80405 (Alliance A151931),Sustainability-Inclusive
Human colorectal cancer-on-chip model to study the microenvironmental influence on early metastatic spread,Sustainability-Inclusive
"Rising Incidence and Racial Disparities of Early-Onset Pancreatic Cancer in the United States, 1995–2018",Sustainability-Inclusive
Impacts of the SARS-CoV-2 Pandemic on Young Adult Colorectal Cancer Survivors,Sustainability-Inclusive
Prognostic utility of self-reported sarcopenia (SARC-F) in the Multiethnic Cohort,Sustainability-Inclusive
Dietary fat in relation to all-cause mortality and cancer progression and death among people with metastatic colorectal cancer: Data from CALGB 80405 (Alliance)/SWOG 80405,Sustainability-Inclusive
Priorities to Promote Participant Engagement in the Participant Engagement and Cancer Genome Sequencing (PE-CGS) Network,Sustainability-Inclusive
Disparities among Black and Hispanic colorectal cancer patients: Findings from the California Cancer Registry,Sustainability-Inclusive
DNA Mutational Profiling in Patients With Colorectal Cancer Treated With Standard of Care Reveals Differences in Outcome and Racial Distribution of Mutations,Sustainability-Inclusive
Understanding patient-derived tumor organoid growth through an integrated imaging and mathematical modeling framework,Sustainability-Inclusive
All you need to know about DPYD genetic testing for patients treated with fluorouracil and capecitabine: A practitioner-friendly guide,SDG-Related
A prospective study to validate the functional assessment of cancer therapy (FACT) for epidermal growth factor receptor inhibitor (EGFRI)-induced dermatologic toxicities FACT-EGFRI 18 questionnaire: SWOG S1013,SDG-Related
ctDNA applications and integration in colorectal cancer: an NCI Colon and Rectal–Anal Task Forces whitepaper,SDG-Related
Risk of Persistent Opioid Use following Major Surgery in Matched Samples of Patients with and without Cancer,SDG-Related
"Relationship between MLH1, PMS2, MSH2 and MSH6 gene-specific alterations and tumor mutational burden in 1057 microsatellite instability-high solid tumors",SDG-Related
Phase Ib study of wnt inhibitor ipafricept with gemcitabine and nab-paclitaxel in patients with previously untreated stage IV pancreatic cancer,SDG-Related
Multicenter Phase II Study of Cabazitaxel in Advanced Gastroesophageal Cancer: Association of HER2 Expression and M2-Like Tumor-Associated Macrophages with Patient Outcome,SDG-Related
"12-Chemokine signature, a predictor of tumor recurrence in colorectal cancer",SDG-Related
Anti-EGFR therapy induces EGF secretion by cancer-associated fibroblasts to confer colorectal cancer chemoresistance,SDG-Related
Synthesis of site-specific antibody-drug conjugates by ADP-ribosyl cyclases,SDG-Related
Comprehensive tumor profiling reveals unique molecular differences between peritoneal metastases and primary colorectal adenocarcinoma,SDG-Related
Shanghai international consensus on diagnosis and comprehensive treatment of colorectal liver metastases (version 2019),SDG-Related
A phase 1b dose escalation study of Wnt pathway inhibitor vantictumab in combination with nab-paclitaxel and gemcitabine in patients with previously untreated metastatic pancreatic cancer,SDG-Related
Cumulative Burden of Colorectal Cancer–Associated Genetic Variants Is More Strongly Associated With Early-Onset vs Late-Onset Cancer,SDG-Related
Safety and efficacy of durvalumab and tremelimumab alone or in combination in patients with advanced gastric and gastroesophageal junction adenocarcinoma,SDG-Related
"Randomized, phase II study prospectively evaluating treatment of metastatic esophageal, gastric, or gastroesophageal cancer by gene expression of ERCC1: SWOG S1201",SDG-Related
Association of Coffee Intake with Survival in Patients with Advanced or Metastatic Colorectal Cancer,SDG-Related
Neutropenia and survival outcomes in metastatic colorectal cancer patients treated with trifluridine/tipiracil in the RECOURSE and J003 trials,SDG-Related
Prognostic and Predictive Impact of Primary Tumor Sidedness for Previously Untreated Advanced Colorectal Cancer,SDG-Related
Pan-cancer analysis of RNA expression of ANGIOTENSIN-I-CONVERTING ENZYME 2 reveals high variability and possible impact on COVID-19 clinical outcomes,SDG-Related
Molecular characterization of squamous cell carcinoma of the anal canal,SDG-Related
BRAF V600EMutation in First-Line Metastatic Colorectal Cancer: An Analysis of Individual Patient Data from the ARCAD Database,SDG-Related
VprBP directs epigenetic gene silencing through histone H2A phosphorylation in colon cancer,SDG-Related
"Tumour mutational burden, microsatellite instability, and actionable alterations in metastatic colorectal cancer: Next-generation sequencing results of TRIBE2 study",SDG-Related
Evaluating the impact of age on immune checkpoint therapy biomarkers,SDG-Related
Site-specific antibody-drug conjugates with variable drug-to-antibody-ratios for AML therapy,SDG-Related
Time from diagnosis and correlates of health-related quality of life among young adult colorectal cancer survivors,SDG-Related
Novel Genomic Differences in Cell-Free Circulating DNA Profiles of Young-Versus Older-Onset Colorectal Cancer,SDG-Related
Expression of immuno-oncologic biomarkers is enriched in colorectal cancers and other solid tumors harboring the a59t variant of kras,SDG-Related
Phase I assessment of safety and therapeutic activity of BAY1436032 in patients with IDH1-mutant solid tumors,SDG-Related
A phase I study of intravenous fenretinide (4-HPR) for patients with malignant solid tumors,SDG-Related
Association of Consensus Molecular Subtypes and Molecular Markers With Clinical Outcomes in Patients With Metastatic Colorectal Cancer: Biomarker Analyses From LUME-Colon 1,SDG-Related
Clinical Validation of a Machine-learning–derived Signature Predictive of Outcomes from First-line Oxaliplatin-based Chemotherapy in Advanced Colorectal Cancer,SDG-Related
Randomized Trial of Irinotecan and Cetuximab With or Without Vemurafenib in BRAF-Mutant Metastatic Colorectal Cancer (SWOG S1406),SDG-Related
Extended RAS Analysis of the Phase III EPIC Trial: Irinotecan + Cetuximab Versus Irinotecan as Second-Line Treatment for Patients with Metastatic Colorectal Cancer,SDG-Related
Genomic analysis of germline variation associated with survival of patients with colorectal cancer treated with chemotherapy plus biologics in CALGB/SWOG 80405 (alliance),SDG-Related
DNMT and EZH2 inhibitors synergize to activate therapeutic targets in hepatocellular carcinoma: Combination treatment of DNMT and EZH2 inhibitors for HCC,SDG-Related
Nivolumab plus low-dose ipilimumab in previously treated patients with microsatellite instability-high/mismatch repair-deficient metastatic colorectal cancer: 4-year follow-up from CheckMate 142,SDG-Related
Eliciting anti-cancer immunity by genetically engineered multifunctional exosomes,SDG-Related
"Prevalence of ARID1A Mutations in Cell-Free Circulating Tumor DNA in a Cohort of 71,301 Patients and Association with Driver Co-Alterations",SDG-Related
Fertility Preservation Discussions Between Young Adult Rectal Cancer Survivors and Their Providers: Sex-Specific Prevalence and Correlates,SDG-Related
Dynamic changes in RAS gene status in circulating tumour DNA: a phase II trial of first-line FOLFOXIRI plus bevacizumab for RAS-mutant metastatic colorectal cancer (JACCRO CC-11),SDG-Related
Survival in Young-Onset Metastatic Colorectal Cancer: Findings from Cancer and Leukemia Group B (Alliance)/SWOG 80405,SDG-Related
Efficacy of anti-epidermal growth factor receptor agents in patients with RAS wild-type metastatic colorectal cancer ≥ 70 years,SDG-Related
Assessment of Capecitabine and Bevacizumab with or Without Atezolizumab for the Treatment of Refractory Metastatic Colorectal Cancer: A Randomized Clinical Trial,SDG-Related
"Homologous Recombination Deficiency Alterations in Colorectal Cancer: Clinical, Molecular, and Prognostic Implications",SDG-Related
Genome-wide association studies of survival in 1520 cancer patients treated with bevacizumab-containing regimens,SDG-Related
Benefit from upfront FOLFOXIRI and bevacizumab in BRAFV600E-mutated metastatic colorectal cancer patients: does primary tumour location matter?,SDG-Related
Association of Homologous Recombination–DNA Damage Response Gene Mutations with Immune Biomarkers in Gastroesophageal Cancers,SDG-Related
"Evaluating sex as a predictive marker for response to bevacizumab in metastatic colorectal carcinoma: Pooled analysis of 3,369 patients in the ARCAD database",SDG-Related
Circadian regulator BMAL1::CLOCK promotes cell proliferation in hepatocellular carcinoma by controlling apoptosis and cell cycle,SDG-Related
Peritoneal metastases from primary appendiceal and colorectal carcinomas demonstrate distinct molecular identities on comprehensive tumor analysis,SDG-Related
Acquired Genomic Alterations on First-Line Chemotherapy with Cetuximab in Advanced Colorectal Cancer: Circulating Tumor DNA Analysis of the CALGB/SWOG-80405 Trial (Alliance),SDG-Related
Patient Care Satisfaction and Emergency Room Utilization among Young Adult Colorectal Cancer Survivors during the SARS-CoV-2 Pandemic: Lessons Learned,SDG-Related
"Bintrafusp Alfa: A Bifunctional Fusion Protein Targeting PD-L1 and TGF-β, in Patients with Pretreated Colorectal Cancer: Results from a Phase I Trial",SDG-Related
Phosphorylation and stabilization of EZH2 by DCAF1/VprBP trigger aberrant gene silencing in colon cancer,SDG-Related
"Tucatinib plus trastuzumab for chemotherapy-refractory, HER2-positive, RAS wild-type unresectable or metastatic colorectal cancer (MOUNTAINEER): a multicentre, open-label, phase 2 study",SDG-Related
The influence of frailty on perioperative outcomes in patients undergoing surgical resection of liver metastases: a nationwide readmissions database study,SDG-Related
PBRM1 mutations might render a subtype of biliary tract cancers sensitive to drugs targeting the DNA damage repair system,SDG-Related
Sexual dysfunction among early-onset colorectal cancer survivors: Sex-specific correlates of sexual health discussions between patients and providers,SDG-Related
Elucidating the Risk of Colorectal Cancer for Variants in Hereditary Colorectal Cancer Genes,SDG-Related
Reduced Tumor Size of Untreated Papillary Thyroid Carcinoma After Immune Checkpoint Inhibitor–Induced Thyroiditis,SDG-Related
Non-canonical MLL1 activity regulates centromeric phase separation and genome stability,SDG-Related
"The role of total neoadjuvant therapy in locally advanced rectal cancer: a survey of specialists attending the All-Ireland Colorectal Cancer Conference 2022 including lead investigators of OPRA, PRODIGE-23 and RAPIDO",SDG-Related
A revised nomenclature for the lemur family of protein kinases,SDG-Related
A phase II study of guadecitabine combined with irinotecan vs regorafenib or TAS-102 in irinotecan-refractory metastatic colorectal cancer patients,SDG-Related
Evidence for a causal link between intra-pancreatic fat deposition and pancreatic cancer: A prospective cohort and Mendelian randomization study,SDG-Related
Modified FOLFOX6 plus bevacizumab with and without nivolumab for first-line treatment of metastatic colorectal cancer: Phase 2 results from the CheckMate 9X8 randomized clinical trial,SDG-Related
Differential Responses to Immune Checkpoint Inhibitors are Governed by Diverse Mismatch Repair Gene Alterations,SDG-Related
Evaluation of markers of immunity in different metastatic immune microenvironments suggests more suppression within breast to liver metastases in breast cancer,SDG-Related
"Fine-mapping analysis including over 254,000 East Asian and European descendants identifies 136 putative colorectal cancer susceptibility genes",SDG-Related
Onvansertib in Combination with FOLFIRI and Bevacizumab in Second-Line Treatment of KRAS-Mutant Metastatic Colorectal Cancer: A Phase Ib Clinical Study,SDG-Related
Botensilimab plus balstilimab in relapsed/refractory microsatellite stable metastatic colorectal cancer: a phase 1 trial,SDG-Related
Genomic Profiling of Rare Undifferentiated Sarcomatoid Subtypes of Pancreatic Carcinomas: In Search of Therapeutic Targets,SDG-Related
Mesothelin expression correlates with elevated inhibitory immune activity in patients with colorectal cancer,SDG-Related
Consensus molecular subtyping of metastatic colorectal cancer expands biomarker-directed therapeutic benefit for patients with CMS1 and CMS2 tumors,SDG-Related
Combining antivascular endothelial growth factor and anti-epidermal growth factor receptor antibodies: randomized phase II study of irinotecan and cetuximab with/without ramucirumab in second-line colorectal cancer (ECOG-ACRIN E7208),SDG-Related
Differential landscape of immune evasion in oncogenic RAS-driven primary and metastatic colorectal cancers,SDG-Related
"Phase I–II study of OBI-888, a humanized monoclonal IgG1 antibody against the tumor-associated carbohydrate antigen Globo H, in patients with advanced solid tumors",SDG-Related
"Genomic, immunologic, and prognostic associations of TROP2 (TACSTD2) expression in solid tumors",SDG-Related
"Onvansertib in Combination with Chemotherapy and Bevacizumab in Second-Line Treatment of KRAS-Mutant Metastatic Colorectal Cancer: A Single-Arm, Phase II Trial",SDG-Related
A phase I dose-escalation study of LRP5/6 antagonist BI 905677 in patients with advanced solid tumors,SDG-Related
Nivolumab plus Ipilimumab in Microsatellite-Instability-High Metastatic Colorectal Cancer,SDG-Related
A Phase 1b study of the OxPhos inhibitor ME-344 with bevacizumab in refractory metastatic colorectal cancer,SDG-Related
"Deciphering colorectal cancer genetics through multi-omic analysis of 100,204 cases and 154,587 controls of European and east Asian ancestries",Not-Related
Functional decomposition of metabolism allows a system-level quantification of fluxes and protein allocation towards specific metabolic functions,SDG-Related
Clinical implications of using both fluoropyrimidine and paclitaxel in patients with severe peritoneal metastasis of gastric cancer: A post hoc study of JCOG1108/WJOG7312G,SDG-Related
Development of human alveolar epithelial cell models to study distal lung biology and disease,SDG-Related
Vibrio harveyi Exhibits the Growth Advantage in Stationary Phase Phenotype during Long-Term Incubation,Sustainability-Inclusive
Bacterial processing of glucose modulates C. elegans lifespan and healthspan,Sustainability-Inclusive
Design wave height parameter estimation model reflecting the influence of typhoon time and space,Sustainability-Inclusive
Elevation calculation of bottom deck based on stochastic process and compound distribution,Not-Related
Avian haemosporidian prevalence and its relationship to host traits in Western Tennessee,Sustainability-Inclusive
Anomeric Fatty Acid Functionalization Prevents Nonenzymatic S-Glycosylation by Monosaccharide Metabolic Chemical Reporters,Not-Related
Metabolic Engineering of Glycans,Not-Related
"4-Deoxy-4-fluoro-GalNAz (4FGalNAz) Is a Metabolic Chemical Reporter of O-GlcNAc Modifications, Highlighting the Notable Substrate Flexibility of O-GlcNAc Transferase",Not-Related
Conformational Alterations of the Cell Surface of Monomeric and Dimeric β2m-Free HLA-I (Proto-HLA) May Enable Novel Immune Functions in Health and Disease,Sustainability-Inclusive
"Ramifications of the HLA-I Allelic Reactivity of Anti-HLA-E*01:01 and Anti-HLA-E*01:03 Heavy Chain Monoclonal Antibodies in Comparison with Anti-HLA-I IgG Reactivity in Non-Alloimmunized Males, Melanoma-Vaccine Recipients, and End-Stage Renal Disease Patients",SDG-Related
Four Faces of Cell-Surface HLA Class-I: Their Antigenic and Immunogenic Divergence Generating Novel Targets for Vaccines,SDG-Related
"Antibodies for β2-Microglobulin and the Heavy Chains of HLA-E, HLA-F, and HLA-G Reflect the HLA-Variants on Activated Immune Cells and Phases of Disease Progression in Rheumatoid Arthritis Patients under Treatment",SDG-Related
Cell Surface B2m-Free Human Leukocyte Antigen (HLA) Monomers and Dimers: Are They Neo-HLA Class and Proto-HLA?,SDG-Related
"Diversity in the HLA-I Recognition of HLA-F Monoclonal Antibodies: HLA-F or HLA-Ib Monospecific, HLA-E or HLA-G Bispecific Antibodies with or without HLA-Ia Reactivity",SDG-Related
Luminex multiplex bead assay monitoring HLA IgG antibodies in sensitized pre‐ and post‐transplant patients: Clonality of the detection antibody impacts specificity and sensitivity,Not-Related
Clinical features and outcomes of young patients with low-grade non-rhabdomyosarcoma soft tissue sarcomas treated with a risk-based strategy: A report from Children's Oncology Group study ARST0332,Sustainability-Inclusive
Interactive augmented reality tsunami simulation system for coastal hazard education,Not-Related
INTERACTIVE VISUALIZATION FOR COASTAL HAZARDS,Not-Related
Quantifying surfcam imagery to measure the 2022 Hunga Tonga-Hunga Ha'apai tsunami along the California coast,Sustainability-Inclusive
CoastalImageLib: An open- source Python package for creating common coastal image products,SDG-Related
Analysis of Anthropogenic Waste Heat Emission from an Academic Data Center,SDG-Related
Air Pollution Particulate Matter Amplifies White Matter Vascular Pathology and Demyelination Caused by Hypoperfusion,Sustainability-Focused
Air pollution particulate matter exposure and chronic cerebral hypoperfusion and measures of white matter injury in a Murine model,Sustainability-Focused
Urban Air Pollution Nanoparticles from Los Angeles: Recently Decreased Neurotoxicity,Sustainability-Focused
"Air pollution nanoparticle and alpha-synuclein fibrils synergistically decrease glutamate receptor A1, depending upon nPM batch activity",Sustainability-Focused
Towards a Global Sustainable Development Agenda Built on Social-Ecological Resilience,Sustainability-Focused
Ambient air pollution and long-term trajectories of episodic memory decline among older women in the whims-echo cohort,Sustainability-Focused
Outdoor air pollution exposure and inter-relation of global cognitive performance and emotional distress in older women,Sustainability-Focused
Air Pollution and the Dynamic Association Between Depressive Symptoms and Memory in Oldest-Old Women,Sustainability-Focused
Associations between Air Pollution Exposure and Empirically Derived Profiles of Cognitive Performance in Older Women,Sustainability-Focused
Ambient air pollution exposure and increasing depressive symptoms in older women: The mediating role of the prefrontal cortex and insula,Sustainability-Focused
Adult mouse hippocampal transcriptome changes associated with long-term behavioral and metabolic effects of gestational air pollution toxicity,Sustainability-Focused
Cerebral cortex and blood transcriptome changes in mouse neonates prenatally exposed to air pollution particulate matter,Sustainability-Focused
"Exposure measurement error in air pollution studies: the impact of shared, multiplicative measurement error on epidemiological health risk estimates",Sustainability-Focused
Indoor air pollution and respiratory health effects in inner city children with moderate to severe asthma,Sustainability-Focused
Joint effects of traffic-related air pollution and hypertensive disorders of pregnancy on maternal postpartum depressive and anxiety symptoms,Sustainability-Focused
Air pollution from biomass burning disrupts early adolescent cortical microarchitecture development,Sustainability-Focused
Prenatal exposure to ambient air pollution and persistent postpartum depression,Sustainability-Focused
Impact of childhood exposure to traffic related air pollution on adult cardiometabolic health: Exploring the role of perceived stress,Sustainability-Focused
EV-miRNA associated with environmental air pollution exposures in the MADRES cohort,Sustainability-Focused
"Prenatal exposure to air pollution is associated with altered brain structure, function, and metabolism in childhood",Sustainability-Focused
The Potential Effects of Policy-driven Air Pollution Interventions on Childhood Lung Development,Sustainability-Focused
"Air pollution, affect, and forecasting bias: Evidence from Chinese financial analysts",Sustainability-Focused
Air pollution exposure and adverse sleep health across the life course: A systematic review,Sustainability-Focused
"Adherence to a MIND-Like Dietary Pattern, Long-Term Exposure to Fine Particulate Matter Air Pollution, and MRI-Based Measures of Brain Volume: The Women’s Health Initiative Memory Study-MRI",Sustainability-Focused
In utero exposure to near-roadway air pollution and autism spectrum disorder in children,Sustainability-Focused
Identifying critical windows of air pollution exposure during preconception and gestational period on birthweight: a prospective cohort study,Sustainability-Focused
Particulate Air Pollution and Blood Pressure: Signaling by the Arachidonate Metabolism,Sustainability-Focused
Outdoor ambient air pollution and breast cancer survival among California participants of the Multiethnic Cohort Study,Sustainability-Focused
Beyond air pollution at home: Assessment of personal exposure to PM2.5 using activity-based travel demand model and low-cost air sensor network data,Sustainability-Focused
Local inequities in the relative production of and exposure to vehicular air pollution in Los Angeles,Sustainability-Focused
A carbon molecular sieve membrane-based reactive separation process for pre-combustion CO2 capture,Sustainability-Focused
"A high-resolution record of coastal clouds and fog and their role in plant distributions over san Clemente Island, California",Sustainability-Focused
A reactive separation process for pre-combustion CO2 capture employing oxygen-blown coal gasifier off-gas,Sustainability-Focused
Active Learning for Efficient Optimization of Geological CO2 Storage with Surrogate Models,Sustainability-Focused
Air quality improvement and cognitive decline in community-dwelling older women in the United States: A longitudinal cohort study,Sustainability-Focused
"Ambient Particulate Matter Induces In Vitro Toxicity to Intestinal Epithelial Cells without Exacerbating Acute Colitis Induced by Dextran Sodium Sulfate or 2,4,6-Trinitrobenzenesulfonic Acid",Sustainability-Focused
Association between airport-related ultrafine particles and risk of malignant brain cancer: A multiethnic cohort study,Sustainability-Focused
Association of improved air quality with lower dementia risk in older women,Sustainability-Focused
Association of lead-exposure risk and family income with childhood brain outcomes,Sustainability-Focused
Association of Outdoor Ambient Fine Particulate Matter with Intracellular White Matter Microstructural Properties among Children,Sustainability-Focused
Association of systemic inflammation and coagulation biomarkers with source-specific PM2.5 mass concentrations among young and elderly subjects in central Tehran,Sustainability-Focused
Associations between combined exposure to environmental hazards and social stressors at the neighborhood level and individual perinatal outcomes in the ECHO-wide cohort,Sustainability-Focused
"Associations between Fine Particulate Matter Components, Their Sources, and Cognitive Outcomes in Children Ages 9–10 Years Old from the United States",Sustainability-Focused
Associations of Autism Spectrum Disorder with PM2.5Components: A Comparative Study Using Two Different Exposure Models,Sustainability-Focused
B vitamin intakes modify the association between particulate air pollutants and incidence of all-cause dementia: Findings from the Women's Health Initiative Memory Study,Sustainability-Focused
Birth outcomes in relation to neighborhood food access and individual food insecurity during pregnancy in the Environmental Influences on Child Health Outcomes (ECHO)-wide cohort study,Sustainability-Focused
Changes in Long-Term PM2.5 Pollution in the Urban and Suburban Areas of China’s Three Largest Urban Agglomerations from 2000 to 2020,Sustainability-Focused
Contrasting the Biophysical and Radiative Effects of Rising CO2 Concentrations on Ozone Dry Deposition Fluxes,Sustainability-Focused
Controlled CO2 Injection into Storage Reservoirs to Minimize Geomechanical Risks Under Geologic Uncertainty,Sustainability-Focused
Deep Learning Assisted Multi-Objective Optimization of Geological CO2 Storage Under Geomechanical Risks,Sustainability-Focused
Demographic predictors of urinary arsenic in a low-income predominantly Hispanic pregnancy cohort in Los Angeles,Sustainability-Focused
Eco-Environmental Analysis of Different Routes for the Synthesis of MIL-53(Fe): An Integrated Life Cycle Assessment and Life Cycle Cost Approaches,Sustainability-Focused
Ecological risk and protective factors for food insufficiency in Los Angeles County during the COVID-19 pandemic,Sustainability-Focused
Effects of ambient particulate matter on vascular tissue: a review,Sustainability-Focused
Effects of in-utero personal exposure to PM2.5 sources and components on birthweight,Sustainability-Focused
Electrothermal Carbon Capture and Utilization─A Review,Sustainability-Focused
Exposure to fine particulate matter and temporal dynamics of episodic memory and depressive symptoms in older women,Sustainability-Focused
Exposure to perfluoroalkyl substances and glucose homeostasis in youth,Sustainability-Focused
Family- and Neighborhood-Level Environmental Associations With Physical Health Conditions in 9- and 10-Year-Olds,Sustainability-Focused
Field-Scale Testing of a High-Efficiency Membrane Reactor (MR)—Adsorptive Reactor (AR) Process for H2 Generation and Pre-Combustion CO2 Capture,Sustainability-Focused
Fine particulate matter exposure and systemic inflammation: A potential mediating role of bioactive lipids,Sustainability-Focused
Fine particulate matter exposure during childhood relates to hemispheric-specific differences in brain structure,Sustainability-Focused
Flexible operation of Post-combustion CO2 capture process enabled by NARX-MPC using neural network,Sustainability-Focused
Geologic CO2 Storage Optimization under Geomechanical Risk Using Coupled-Physics Models,Sustainability-Focused
Glycol assisted efficient conversion of CO2 captured from air to methanol with a heterogeneous Cu/ZnO/Al2O3 catalyst,Sustainability-Focused
Integrated carbon capture and utilization to methanol with epoxide-functionalized polyamines under homogeneous catalytic conditions,Sustainability-Focused
Integrated Carbon Dioxide Capture and Conversion to Methanol Utilizing Tertiary Amines over a Heterogenous Cu/ZnO/Al2O3 Catalyst,Sustainability-Focused
Integrating Multi-Omics with environmental data for precision health: A novel analytic framework and case study on prenatal mercury induced childhood fatty liver disease,Sustainability-Focused
Modeling and simulation of a reactive separation system for carbon capture and utilization in biogas streams,Sustainability-Focused
Mouse brain transcriptome responses to inhaled nanoparticulate matter differed by sex and APOE in Nrf2-Nfkb interactions,Sustainability-Focused
Neurotoxicity of Diesel Exhaust Particles,Sustainability-Focused
Optimization of CO2 Storage and Leakage through Caprock Fracturing using Coupled Flow-Geomechanics-Fracturing Simulation,Sustainability-Focused
Optimization of co2 storage under geomechanical risk with coupled-physics models,Sustainability-Focused
Organophosphate ester flame retardant chemicals and maternal depression during pregnancy,Sustainability-Focused
Outdoor Ultrafine Particulate Matter and Risk of Lung Cancer in Southern California,Sustainability-Focused
Particulate matter and episodic memory decline mediated by early neuroanatomic biomarkers of Alzheimer's disease,Sustainability-Focused
PM2.5Associated With Gray Matter Atrophy Reflecting Increased Alzheimer Risk in Older Women,Sustainability-Focused
Quantification and incorporation of geomechanical risks in optimization of geologic CO2 storage using coupled-physics models,Sustainability-Focused
"Quantification of fossil fuel CO2 from combined CO, 13CO2 and δ14CO2 observations",Sustainability-Focused
Racial/Ethnic Disparities in Alzheimer's Disease Risk: Role of Exposure to Ambient Fine Particles,Sustainability-Focused
"Risk of lead exposure, subcortical brain structure, and cognition in a large cohort of 9-to 10-year-old children",Sustainability-Focused
Sex-specific effects of prenatal organophosphate ester (OPE) metabolite mixtures and adverse infant birth outcomes in the maternal and developmental risks from environmental and social stressors (MADRES) pregnancy cohort,Sustainability-Focused
Smartphone GPS-Based Exposure to Greenspace and Walkability and Accelerometer-Assessed Physical Activity During Pregnancy and Early Postpartum—Evidence from the MADRES Cohort,Sustainability-Focused
Spatial and temporal determinants of particulate matter peak exposures during pregnancy and early postpartum,Sustainability-Focused
Subchronic inhalation exposure to ultrafine particulate matter alters the intestinal microbiome in various mouse models,Sustainability-Focused
The dynamics of cardiovascular and respiratory deaths attributed to long-term PM2.5 exposures in global megacities,Sustainability-Focused
The Effects of Indoor Air Filtration on Cardiometabolic Outcomes Among Individuals in Urban Los Angeles,Sustainability-Focused
